trip_duration_days,miles_traveled,total_receipts_amount,reimbursement,dataset
5,361.0,1119.02,,private
5,427.0,220.66,,private
5,178.0,935.48,,private
5,656.0,929.35,,private
5,288.0,1365.81,,private
5,562.0,444.56,,private
5,230.0,533.79,,private
5,298.0,811.29,,private
5,573.0,742.77,,private
5,648.0,99.23,,private
5,762.0,491.48,,private
5,605.0,963.51,,private
5,557.0,1493.93,,private
5,513.0,1352.63,,private
5,689.0,276.79,,private
5,345.0,1267.3,,private
5,719.0,216.37,,private
5,490.0,1326.91,,private
5,450.0,741.83,,private
5,519.0,1146.75,,private
5,125.0,1247.3,,private
5,196.0,801.36,,private
5,836.0,657.77,,private
5,288.0,965.55,,private
5,485.0,217.71,,private
5,114.0,594.61,,private
5,455.0,979.22,,private
5,202.0,209.14,,private
5,669.0,659.98,,private
5,277.0,692.71,,private
5,376.0,1286.37,,private
5,732.0,848.46,,private
5,332.0,331.21,,private
5,288.0,416.49,,private
5,801.0,1233.24,,private
5,67.0,64.42,,private
5,359.0,216.75,,private
5,689.0,372.23,,private
5,325.0,575.91,,private
5,155.0,1022.2,,private
5,188.0,1142.37,,private
5,759.0,842.0,,private
5,589.0,1234.38,,private
5,296.0,478.2,,private
5,270.0,284.47,,private
5,55.0,712.64,,private
5,562.0,1178.89,,private
5,273.0,1052.61,,private
5,223.0,825.01,,private
5,808.0,1265.63,,private
5,818.0,486.9,,private
5,87.0,896.07,,private
5,162.0,663.77,,private
5,700.0,273.82,,private
5,141.0,778.22,,private
5,516.0,1150.26,,private
5,371.0,1501.91,,private
5,537.0,883.0,,private
5,622.0,492.17,,private
5,152.0,340.01,,private
5,77.0,281.02,,private
5,629.0,709.22,,private
5,779.0,436.92,,private
5,330.0,113.97,,private
5,367.0,112.29,,private
5,415.0,575.13,,private
9,1099.0,1668.45,,private
9,269.0,1781.44,,private
12,1000.0,675.11,,private
9,579.0,440.25,,private
9,108.0,1437.72,,private
12,1014.0,1213.65,,private
11,612.0,445.84,,private
9,595.0,242.11,,private
9,1078.0,105.31,,private
12,725.0,922.1,,private
9,444.0,1221.57,,private
10,433.0,903.88,,private
11,175.0,1177.54,,private
10,646.0,430.63,,private
9,807.0,1917.21,,private
12,439.0,1231.15,,private
8,421.0,1964.5,,private
10,404.0,752.54,,private
8,946.0,969.17,,private
10,684.0,900.63,,private
10,766.0,107.29,,private
12,700.0,606.73,,private
12,940.0,1674.57,,private
11,554.0,1900.81,,private
11,1040.0,799.87,,private
8,155.0,1099.49,,private
9,685.0,724.93,,private
8,886.0,1644.78,,private
10,488.0,525.26,,private
11,422.0,2049.39,,private
8,155.0,218.69,,private
9,508.0,1150.51,,private
12,495.0,389.65,,private
11,117.0,1967.99,,private
8,718.0,314.27,,private
9,881.0,1912.66,,private
11,710.0,233.95,,private
8,669.0,1270.19,,private
11,528.0,1118.12,,private
10,183.0,1305.02,,private
10,640.0,493.27,,private
9,122.0,1372.11,,private
10,133.0,349.52,,private
8,614.0,1198.26,,private
12,150.0,1725.15,,private
11,819.0,1014.21,,private
9,949.0,1087.59,,private
11,866.0,2099.94,,private
9,429.0,1624.59,,private
12,804.0,998.65,,private
10,1084.0,336.27,,private
11,996.0,118.49,,private
10,906.0,1015.59,,private
9,277.0,1821.25,,private
11,829.0,1652.34,,private
9,632.0,475.09,,private
8,322.0,1293.11,,private
8,544.0,276.63,,private
11,649.0,858.75,,private
10,671.0,567.83,,private
8,292.0,1894.94,,private
11,466.0,1717.49,,private
12,669.0,1308.88,,private
11,1035.0,222.42,,private
8,512.0,1984.46,,private
12,402.0,1759.03,,private
12,715.0,977.71,,private
8,1044.0,457.43,,private
12,667.0,723.21,,private
10,921.0,1445.95,,private
10,594.0,1129.84,,private
11,597.0,1379.55,,private
8,513.0,1152.9,,private
8,1026.0,166.27,,private
8,683.0,114.33,,private
10,235.0,597.87,,private
12,645.0,1395.76,,private
8,776.0,735.33,,private
8,687.0,1050.25,,private
11,361.0,323.83,,private
9,1024.0,1378.79,,private
8,874.0,426.01,,private
10,895.0,707.11,,private
10,1021.0,1557.6,,private
8,511.0,1439.85,,private
10,953.0,970.16,,private
9,984.0,1913.9,,private
9,223.0,827.49,,private
10,602.0,2083.44,,private
9,970.0,213.74,,private
10,1037.0,968.3,,private
8,886.0,1350.03,,private
9,1039.0,1330.31,,private
11,968.0,1558.26,,private
11,561.0,325.85,,private
8,164.0,1590.94,,private
10,448.0,497.33,,private
11,1075.0,2070.49,,private
9,561.0,1508.97,,private
10,587.0,1869.74,,private
7,847.0,672.46,,private
6,836.0,233.1,,private
1,953.0,1165.9,,private
4,907.0,289.91,,private
2,636.0,1222.89,,private
5,608.0,208.47,,private
1,658.0,831.92,,private
2,961.0,1160.73,,private
3,733.0,1094.09,,private
7,633.0,1004.04,,private
1,995.0,799.54,,private
2,804.0,1000.73,,private
4,623.0,779.78,,private
1,881.0,979.66,,private
2,653.0,994.8,,private
7,611.0,90.51,,private
5,846.0,462.08,,private
1,674.0,519.53,,private
2,734.0,848.54,,private
1,729.0,855.65,,private
6,754.0,893.98,,private
5,710.0,151.86,,private
3,720.0,447.94,,private
4,615.0,1113.95,,private
4,691.0,1180.46,,private
1,906.0,877.7,,private
5,974.0,634.93,,private
6,605.0,1173.36,,private
1,641.0,987.55,,private
4,764.0,550.89,,private
2,679.0,112.77,,private
2,930.0,115.16,,private
2,874.0,298.18,,private
7,990.0,992.07,,private
3,793.0,999.93,,private
4,745.0,286.12,,private
3,609.0,461.0,,private
2,903.0,51.49,,private
5,843.0,378.05,,private
5,932.0,455.93,,private
3,725.0,112.02,,private
5,771.0,91.77,,private
3,815.0,951.24,,private
7,759.0,712.74,,private
7,671.0,125.76,,private
3,727.0,738.52,,private
4,799.0,926.48,,private
2,873.0,72.47,,private
1,807.0,789.14,,private
5,869.0,574.16,,private
7,799.0,1019.86,,private
4,909.0,573.21,,private
2,842.0,333.45,,private
5,867.0,568.5,,private
2,625.0,435.72,,private
3,686.0,312.73,,private
2,881.0,1071.94,,private
3,908.0,1069.38,,private
2,626.0,354.6,,private
3,621.0,290.87,,private
3,631.0,413.93,,private
2,685.0,870.75,,private
6,958.0,1150.07,,private
3,819.0,1057.52,,private
2,773.0,95.48,,private
5,732.0,1234.94,,private
5,941.0,840.25,,private
1,930.0,662.74,,private
3,745.0,219.84,,private
1,916.0,899.59,,private
7,671.0,382.72,,private
2,644.0,859.31,,private
3,929.0,1069.45,,private
3,671.0,1047.82,,private
3,916.0,982.91,,private
6,668.0,554.34,,private
2,840.0,1140.61,,private
2,659.0,368.17,,private
3,758.0,371.29,,private
7,618.0,713.57,,private
4,621.0,330.05,,private
5,909.0,382.46,,private
1,928.0,1155.97,,private
1,673.0,407.71,,private
4,961.0,756.98,,private
2,924.0,504.06,,private
7,988.0,983.04,,private
1,828.0,62.05,,private
3,617.0,636.04,,private
5,637.0,901.81,,private
2,781.0,397.22,,private
5,852.0,391.78,,private
1,916.0,528.22,,private
2,724.0,1153.01,,private
7,771.0,1128.93,,private
6,795.0,511.77,,private
4,717.0,1004.2,,private
3,921.0,469.02,,private
6,891.0,447.64,,private
6,686.0,1158.71,,private
10,481.0,479.49,,private
1,631.0,598.99,,private
9,374.0,473.49,,private
8,583.0,652.49,,private
3,561.0,635.99,,private
3,214.0,537.99,,private
10,91.0,661.49,,private
6,593.0,380.99,,private
7,62.0,63.49,,private
9,436.0,797.49,,private
2,806.0,384.49,,private
3,738.0,772.99,,private
10,125.0,347.49,,private
7,748.0,111.49,,private
8,196.0,467.49,,private
6,71.0,363.49,,private
10,832.0,509.99,,private
3,441.0,120.99,,private
8,801.0,710.99,,private
3,353.0,103.49,,private
5,762.0,545.99,,private
3,227.0,512.99,,private
6,433.0,251.49,,private
8,500.0,148.99,,private
6,227.0,488.99,,private
6,297.0,507.99,,private
8,659.0,674.49,,private
4,368.0,633.49,,private
4,162.0,145.49,,private
9,762.0,692.99,,private
4,177.0,196.99,,private
3,825.0,310.99,,private
8,210.0,792.99,,private
4,798.0,611.99,,private
4,264.0,496.99,,private
10,759.0,810.49,,private
6,640.0,74.49,,private
3,804.0,560.49,,private
10,150.0,129.49,,private
3,675.0,709.49,,private
7,761.0,264.99,,private
10,384.0,353.99,,private
2,499.0,490.49,,private
1,397.0,735.49,,private
6,73.0,274.99,,private
9,694.0,474.99,,private
2,689.0,86.99,,private
5,223.0,785.49,,private
10,517.0,668.99,,private
3,596.0,291.49,,private
1,433.47,200.17,,private
1,361.45,293.26,,private
1,426.87,370.23,,private
1,388.5,786.9,,private
2,779.35,899.04,,private
2,565.77,504.44,,private
3,778.34,566.08,,private
3,1177.15,162.38,,private
1,325.99,575.68,,private
1,268.21,863.78,,private
3,954.91,510.15,,private
3,1000.97,423.79,,private
2,653.63,661.58,,private
2,582.77,635.19,,private
3,1096.2,834.56,,private
1,401.78,601.52,,private
3,988.12,553.67,,private
2,806.9,841.31,,private
2,855.34,894.43,,private
1,256.67,424.79,,private
3,965.03,141.76,,private
2,549.17,812.66,,private
3,753.78,822.5,,private
2,590.71,864.93,,private
2,781.95,530.21,,private
3,1252.29,401.95,,private
2,803.52,804.34,,private
3,1120.65,722.51,,private
3,1142.55,523.13,,private
1,331.7,537.72,,private
2,549.33,477.49,,private
2,688.49,521.5,,private
1,338.5,317.38,,private
1,334.04,413.75,,private
3,1078.95,411.04,,private
2,855.3,369.34,,private
3,1138.76,798.2,,private
2,883.98,613.62,,private
3,812.76,225.87,,private
3,1248.84,738.48,,private
1,272.37,649.32,,private
2,654.88,114.82,,private
1,408.46,547.84,,private
3,1001.77,319.53,,private
1,445.6,460.16,,private
1,287.52,410.39,,private
2,775.05,803.21,,private
2,541.81,741.29,,private
3,1132.53,418.09,,private
3,1251.09,162.84,,private
2,789.97,715.83,,private
2,840.96,613.85,,private
2,760.34,301.78,,private
1,275.39,290.54,,private
2,770.1,756.19,,private
1,262.43,294.99,,private
3,1301.45,351.22,,private
2,603.13,370.18,,private
2,818.36,626.06,,private
2,684.96,198.12,,private
2,678.1,645.7,,private
3,785.61,193.84,,private
2,610.59,423.86,,private
1,284.28,573.66,,private
1,277.02,352.96,,private
2,809.16,571.96,,private
3,1022.71,166.54,,private
3,959.24,839.34,,private
2,734.84,632.73,,private
1,354.56,576.14,,private
3,1023.03,636.39,,private
3,1213.43,291.53,,private
3,877.99,843.39,,private
1,296.78,564.88,,private
1,318.2,739.42,,private
1,257.52,596.37,,private
2,681.43,303.32,,private
1,372.2,837.52,,private
3,1164.8,516.89,,private
1,295.27,492.73,,private
2,601.3,453.81,,private
3,756.03,622.23,,private
1,435.03,828.79,,private
2,826.24,326.9,,private
1,404.81,296.0,,private
1,370.51,845.76,,private
3,1348.59,643.79,,private
1,348.64,391.87,,private
3,831.62,756.87,,private
2,633.16,331.36,,private
1,425.87,871.81,,private
2,660.4,804.53,,private
2,507.53,708.66,,private
1,325.25,137.92,,private
1,327.8,588.3,,private
1,280.86,556.8,,private
3,778.51,835.46,,private
3,951.97,752.25,,private
1,355.38,512.58,,private
3,1263.27,341.13,,private
6,176.28,1258.98,,private
6,108.9,883.68,,private
6,202.45,1004.71,,private
9,213.89,1052.62,,private
5,146.53,1013.62,,private
5,89.08,252.45,,private
8,158.81,337.0,,private
7,113.84,519.52,,private
8,110.92,831.72,,private
6,89.81,1186.37,,private
8,225.0,467.53,,private
5,171.63,1291.57,,private
9,222.77,600.3,,private
7,159.44,360.51,,private
6,91.69,1263.17,,private
9,134.56,286.44,,private
5,73.06,617.52,,private
5,75.5,455.96,,private
9,107.96,665.92,,private
9,188.8,999.66,,private
5,172.38,424.04,,private
6,171.38,230.39,,private
6,167.07,662.02,,private
9,327.51,1103.06,,private
7,78.59,978.78,,private
9,155.14,274.69,,private
8,110.51,1241.1,,private
8,164.17,324.01,,private
8,239.99,922.83,,private
6,199.34,235.26,,private
8,110.08,276.55,,private
6,154.38,849.34,,private
5,108.81,454.55,,private
6,69.34,357.47,,private
9,187.81,404.58,,private
6,141.73,1355.67,,private
9,217.31,969.58,,private
8,289.14,644.78,,private
5,123.75,887.34,,private
9,247.11,869.23,,private
8,154.78,1330.84,,private
9,324.6,529.55,,private
8,278.28,768.69,,private
8,262.93,1286.83,,private
9,219.83,282.75,,private
6,202.89,1146.49,,private
5,196.67,1287.69,,private
9,196.2,877.97,,private
5,78.67,746.61,,private
5,64.61,1185.92,,private
8,192.02,1128.66,,private
6,150.51,538.46,,private
9,231.78,1278.6,,private
5,126.28,1283.41,,private
5,65.56,430.65,,private
6,88.56,1228.95,,private
6,168.28,629.76,,private
6,151.28,208.96,,private
5,82.26,681.53,,private
6,139.56,1386.83,,private
7,266.82,553.82,,private
8,211.95,826.13,,private
5,58.26,1008.35,,private
9,127.15,1256.6,,private
6,62.96,1267.7,,private
7,203.2,551.1,,private
5,114.06,871.03,,private
5,130.83,1201.76,,private
7,241.77,1071.36,,private
6,221.64,339.96,,private
9,284.05,1141.06,,private
5,60.47,211.13,,private
5,78.74,1308.25,,private
5,67.72,299.35,,private
9,355.94,360.22,,private
5,183.43,1136.34,,private
9,320.32,914.27,,private
6,105.64,533.01,,private
9,333.05,1076.69,,private
5,54.1,846.26,,private
5,134.48,719.68,,private
6,199.2,457.99,,private
8,220.73,345.71,,private
6,226.82,1197.75,,private
9,180.95,573.25,,private
7,108.53,388.75,,private
7,153.79,1347.03,,private
5,137.19,1301.52,,private
8,303.56,205.85,,private
7,236.94,1323.63,,private
5,139.04,209.38,,private
7,160.74,824.95,,private
6,193.41,483.2,,private
9,134.12,719.8,,private
9,288.43,649.06,,private
5,86.28,973.41,,private
6,179.48,348.01,,private
9,98.74,954.21,,private
5,174.27,1391.87,,private
6,70.83,601.32,,private
8,817.0,1110.29,,private
7,986.0,1205.82,,private
9,1004.0,1323.92,,private
9,904.0,1013.85,,private
6,1067.0,1622.51,,private
9,1124.0,1493.19,,private
9,959.0,1166.22,,private
7,1180.0,1602.7,,private
7,1128.0,1062.71,,private
7,1044.0,1696.4,,private
8,1140.0,1392.93,,private
7,1164.0,1410.78,,private
8,807.0,1534.06,,private
7,1146.0,1736.56,,private
9,963.0,1663.9,,private
9,1004.0,1398.73,,private
9,831.0,1534.89,,private
9,957.0,1179.02,,private
8,912.0,1430.54,,private
8,1041.0,1639.18,,private
8,905.0,1619.56,,private
8,808.0,1461.82,,private
7,990.0,1087.81,,private
7,981.0,1737.94,,private
9,989.0,1099.7,,private
6,1171.0,1599.03,,private
7,928.0,1233.78,,private
8,1149.0,1121.03,,private
6,802.0,1593.81,,private
7,1133.0,1279.86,,private
9,905.0,1616.54,,private
9,877.0,1176.37,,private
7,1143.0,1452.33,,private
7,1149.0,1609.84,,private
7,1122.0,1150.7,,private
9,877.0,1743.03,,private
6,882.0,1482.15,,private
9,1057.0,1410.97,,private
9,1150.0,1791.96,,private
6,824.0,1547.56,,private
8,826.0,1310.47,,private
9,1069.0,1372.94,,private
7,1113.0,1555.96,,private
8,809.0,1268.68,,private
8,813.0,1400.63,,private
9,1081.0,1608.05,,private
7,850.0,1731.77,,private
9,873.0,1749.38,,private
9,1167.0,1335.68,,private
8,1199.0,1200.51,,private
6,948.0,1488.23,,private
8,1031.0,1513.88,,private
6,1154.0,1140.09,,private
7,946.0,1515.25,,private
9,1119.0,1418.19,,private
8,966.0,1796.25,,private
7,1003.0,1589.65,,private
8,1029.0,1061.78,,private
6,1153.0,1305.31,,private
6,1177.0,1083.48,,private
6,1150.0,1627.62,,private
7,880.0,1775.57,,private
6,1055.0,1793.52,,private
8,950.0,1525.47,,private
7,1002.0,1731.44,,private
8,1070.0,1747.86,,private
7,1167.0,1503.82,,private
6,1020.0,1550.54,,private
9,1163.0,1544.7,,private
6,900.0,1478.53,,private
9,1183.0,1206.35,,private
7,953.0,1237.55,,private
7,915.0,1608.92,,private
7,1126.0,1736.21,,private
9,946.0,1763.5,,private
8,1193.0,1129.55,,private
7,832.0,1450.05,,private
7,1090.0,1224.79,,private
9,993.0,1470.02,,private
6,1111.0,1322.07,,private
9,960.0,1532.85,,private
7,853.0,1089.72,,private
9,805.0,1340.2,,private
9,1117.0,1768.53,,private
8,907.0,1028.99,,private
8,837.0,1104.2,,private
8,1106.0,1588.21,,private
7,824.0,1178.86,,private
6,1105.0,1283.96,,private
7,1165.0,1135.12,,private
6,932.0,1497.49,,private
7,1075.0,1356.84,,private
9,1103.0,1337.39,,private
8,829.0,1487.89,,private
9,975.0,1277.24,,private
9,826.0,1403.07,,private
8,1169.0,1572.8,,private
7,1118.0,1033.63,,private
6,933.0,1335.99,,private
8,963.0,1579.96,,private
1,576.0,2373.15,,private
1,152.0,2209.06,,private
10,512.0,80.42,,private
14,504.0,2259.82,,private
4,328.0,1501.71,,private
4,901.0,86.96,,private
8,911.0,492.05,,private
8,1049.0,526.75,,private
3,519.0,360.18,,private
12,788.0,421.27,,private
12,1129.0,1234.3,,private
3,793.0,1975.29,,private
14,659.0,1076.39,,private
14,89.0,1652.22,,private
2,1014.0,1680.98,,private
14,904.0,1248.44,,private
11,368.0,1514.77,,private
7,817.0,2113.72,,private
12,624.0,2351.83,,private
13,1146.0,427.72,,private
3,213.0,2375.24,,private
13,1064.0,1186.78,,private
11,513.0,1428.36,,private
13,446.0,1531.67,,private
11,560.0,947.22,,private
9,270.0,1056.21,,private
6,298.0,1793.43,,private
8,291.0,411.83,,private
13,627.0,1729.02,,private
8,1132.0,627.48,,private
12,509.0,2475.72,,private
6,223.0,2209.25,,private
12,1014.0,847.28,,private
1,53.0,1381.07,,private
4,1068.0,1056.57,,private
11,1047.0,1596.76,,private
9,56.0,197.71,,private
13,437.0,1777.4,,private
12,97.0,1248.58,,private
4,51.0,173.85,,private
9,1063.0,1609.01,,private
9,1082.0,995.41,,private
11,488.0,612.55,,private
4,410.0,329.09,,private
1,603.0,1650.51,,private
11,443.0,1578.59,,private
13,913.0,2242.16,,private
3,1056.0,92.97,,private
12,65.0,2436.96,,private
1,940.0,2332.81,,private
8,222.0,2360.99,,private
6,304.0,1093.53,,private
12,768.0,443.16,,private
12,1085.0,1149.0,,private
10,113.0,2082.66,,private
12,117.0,586.42,,private
8,807.0,773.93,,private
6,1190.0,1834.53,,private
4,43.0,1867.22,,private
13,1045.0,2409.07,,private
9,997.0,497.5,,private
11,541.0,385.08,,private
1,48.0,843.74,,private
1,75.0,114.73,,private
5,1034.0,723.89,,private
3,71.0,1557.64,,private
9,515.0,756.5,,private
11,1124.0,1932.8,,private
1,583.0,2410.52,,private
9,350.0,269.75,,private
11,1166.0,538.75,,private
1,667.0,2006.02,,private
3,743.0,1107.23,,private
4,182.0,159.32,,private
7,85.0,1790.44,,private
4,691.0,1656.88,,private
8,1084.0,658.58,,private
6,602.0,1875.89,,private
1,542.0,662.37,,private
11,79.0,1288.84,,private
13,688.0,133.25,,private
10,539.0,305.48,,private
4,255.0,2434.3,,private
7,842.0,1199.6,,private
1,134.0,754.27,,private
11,1183.0,690.6,,private
7,174.0,1182.78,,private
14,26.0,1295.7,,private
5,910.0,310.13,,private
12,591.0,2344.58,,private
10,1148.0,1253.14,,private
1,1153.0,640.68,,private
11,804.0,593.41,,private
1,975.0,1343.91,,private
2,1052.0,1311.89,,private
5,703.0,2310.77,,private
9,994.0,2301.21,,private
2,201.0,1655.83,,private
2,161.0,1029.57,,private
5,346.0,871.39,,private
13,357.0,934.61,,private
6,1029.0,2050.57,,private
8,579.0,2268.55,,private
13,420.0,2369.66,,private
7,1150.0,2287.73,,private
8,932.0,1924.74,,private
7,977.0,2230.53,,private
6,922.0,1712.35,,private
1,600.0,1935.12,,private
11,481.0,1804.18,,private
12,1200.0,198.12,,private
4,163.0,1099.16,,private
13,509.0,22.91,,private
3,676.0,1242.67,,private
1,1189.0,1464.17,,private
10,684.0,641.56,,private
11,1081.0,614.35,,private
2,593.0,1716.87,,private
10,445.0,907.42,,private
4,1090.0,1617.95,,private
5,1084.0,106.66,,private
11,696.0,859.36,,private
6,879.0,1293.9,,private
7,659.0,626.92,,private
3,14.0,1435.31,,private
11,1106.0,1083.85,,private
13,549.0,95.78,,private
5,1014.0,1117.39,,private
4,574.0,1650.5,,private
13,500.0,1514.8,,private
1,780.0,221.55,,private
5,733.0,900.57,,private
2,381.0,1987.64,,private
1,22.0,1427.07,,private
2,286.0,647.92,,private
4,205.0,2460.47,,private
2,1034.0,794.3,,private
1,188.0,1564.89,,private
8,860.0,2376.18,,private
2,203.0,1419.05,,private
1,615.0,730.72,,private
3,284.0,1599.53,,private
4,922.0,118.84,,private
13,484.0,1526.43,,private
7,688.0,452.7,,private
10,1127.0,1869.42,,private
12,880.0,1363.64,,private
5,808.0,579.68,,private
3,505.0,694.38,,private
13,237.0,1239.24,,private
6,527.0,1789.29,,private
11,359.0,1094.25,,private
12,1190.0,862.07,,private
11,1104.0,1108.62,,private
7,669.0,950.57,,private
5,361.0,163.23,,private
6,383.0,1543.06,,private
1,510.0,725.45,,private
6,1188.0,488.9,,private
10,711.0,1368.93,,private
13,603.0,2228.88,,private
12,37.0,43.66,,private
1,172.0,787.13,,private
3,158.0,2306.7,,private
11,69.0,1913.18,,private
12,284.0,662.12,,private
10,140.0,368.35,,private
5,632.0,1545.73,,private
8,723.0,902.34,,private
12,1076.0,1001.43,,private
13,876.0,891.84,,private
14,833.0,2422.03,,private
6,459.0,593.63,,private
13,1202.0,824.34,,private
4,56.0,1735.86,,private
3,266.0,2172.78,,private
10,519.0,1526.43,,private
14,1094.0,2182.28,,private
7,435.0,2479.02,,private
9,699.0,2009.79,,private
10,266.0,594.74,,private
11,964.0,2283.57,,private
11,825.0,1321.23,,private
11,11.0,2099.14,,private
10,357.0,2269.01,,private
3,485.0,2077.18,,private
3,459.0,198.79,,private
3,9.0,1047.09,,private
3,838.0,397.08,,private
11,997.0,588.91,,private
13,882.0,1693.29,,private
12,1027.0,873.45,,private
3,1073.0,989.19,,private
6,256.0,1138.83,,private
7,909.0,189.71,,private
7,460.0,1113.62,,private
9,683.0,1513.82,,private
8,819.0,1838.36,,private
3,157.0,1527.37,,private
10,473.0,1533.74,,private
2,1106.0,1360.12,,private
3,219.0,2024.08,,private
14,567.0,2180.32,,private
7,386.0,1244.22,,private
5,716.0,523.74,,private
10,490.0,1941.6,,private
2,507.0,2294.64,,private
3,973.0,2384.47,,private
6,345.0,2002.71,,private
13,888.0,1686.78,,private
3,656.0,1642.27,,private
12,732.0,839.55,,private
5,1204.0,2342.56,,private
2,870.0,1743.0,,private
10,564.0,2459.18,,private
13,1177.0,1097.08,,private
14,261.0,2156.06,,private
11,1135.0,1682.88,,private
3,1022.0,1891.89,,private
10,374.0,620.2,,private
5,133.0,894.29,,private
14,1084.0,1376.89,,private
7,1094.0,1630.05,,private
9,1058.0,1583.86,,private
4,104.0,1526.31,,private
6,581.0,2384.41,,private
2,1192.0,576.89,,private
3,146.0,546.62,,private
3,559.0,1448.86,,private
12,1183.0,613.48,,private
2,22.0,2257.38,,private
11,429.0,577.44,,private
11,784.0,508.24,,private
8,918.0,1524.35,,private
13,723.0,1949.98,,private
4,725.0,1440.29,,private
12,1052.0,815.85,,private
14,901.0,1261.51,,private
13,1001.0,1699.89,,private
12,468.0,1645.68,,private
4,563.0,1926.83,,private
7,345.0,1660.76,,private
11,602.0,1634.67,,private
5,598.0,1097.35,,private
13,966.0,1499.92,,private
13,464.0,970.14,,private
3,283.0,1269.46,,private
6,1118.0,1403.27,,private
10,745.0,2247.07,,private
7,1093.0,2257.72,,private
3,548.0,349.79,,private
4,320.0,575.74,,private
12,936.0,1654.16,,private
8,460.0,2403.57,,private
12,393.0,1282.42,,private
14,1144.0,1943.83,,private
6,321.0,1639.35,,private
11,1126.0,2477.21,,private
10,93.0,1484.8,,private
11,1196.0,1931.08,,private
13,819.0,101.93,,private
12,554.0,1915.1,,private
7,280.0,374.74,,private
8,403.0,1576.88,,private
4,985.0,2239.09,,private
6,610.0,1985.99,,private
4,454.0,1022.79,,private
3,676.0,2070.13,,private
14,183.0,232.13,,private
11,684.0,1584.13,,private
5,614.0,1985.91,,private
13,65.0,151.94,,private
6,214.0,1974.21,,private
10,863.0,2117.18,,private
10,185.0,84.54,,private
11,996.0,326.3,,private
11,456.0,2092.42,,private
9,1148.0,2108.95,,private
