trip_duration_days,miles_traveled,total_receipts_amount,reimbursement,dataset,cost_per_day,cost_per_mile,miles_per_day,cost_ratio
5,262.0,1173.79,1485.59,public,234.75799999999998,4.480114503816794,52.4,52.39999999999999
5,446.0,219.98,788.62,public,43.995999999999995,0.4932286995515695,89.2,89.19999999999999
5,751.0,407.43,1063.46,public,81.486,0.5425166444740346,150.2,150.20000000000002
5,324.0,128.94,686.54,public,25.788,0.39796296296296296,64.8,64.8
5,414.0,967.0,1368.94,public,193.4,2.3357487922705316,82.8,82.8
5,367.0,290.78,742.25,public,58.15599999999999,0.7923160762942778,73.4,73.4
5,764.0,848.75,1468.46,public,169.75,1.1109293193717278,152.8,152.79999999999998
5,249.0,873.75,1185.24,public,174.75,3.5090361445783134,49.8,49.8
8,862.0,1817.85,1719.37,public,227.23125,2.108874709976798,107.75,107.75
11,927.0,1994.33,1779.12,public,181.30272727272725,2.151380798274002,84.27272727272727,84.27272727272727
9,602.0,186.69,1085.4,public,20.743333333333332,0.31011627906976746,66.88888888888889,66.88888888888889
8,610.0,208.29,841.27,public,26.03625,0.3414590163934426,76.25,76.25
12,333.0,1103.21,1618.13,public,91.93416666666667,3.312942942942943,27.75,27.75
8,435.0,1129.65,1525.26,public,141.20625,2.596896551724138,54.375,54.375
9,218.0,1203.45,1561.63,public,133.71666666666667,5.520412844036698,24.22222222222222,24.22222222222222
12,781.0,1159.18,1752.72,public,96.59833333333334,1.484225352112676,65.08333333333333,65.08333333333334
11,916.0,1036.91,2098.07,public,94.26454545454546,1.1319978165938867,83.27272727272727,83.27272727272727
10,358.0,2066.62,1624.11,public,206.66199999999998,5.77268156424581,35.8,35.8
12,566.0,2013.7,1752.03,public,167.80833333333334,3.557773851590106,47.166666666666664,47.166666666666664
9,954.0,1483.39,2024.2,public,164.82111111111112,1.554916142557652,106.0,106.0
9,534.0,1929.94,1624.87,public,214.4377777777778,3.614119850187266,59.333333333333336,59.333333333333336
12,765.0,1343.97,1953.03,public,111.9975,1.7568235294117647,63.75,63.75
8,630.0,967.69,1388.05,public,120.96125,1.536015873015873,78.75,78.75
10,909.0,696.0,1505.19,public,69.6,0.7656765676567657,90.9,90.89999999999999
10,223.0,745.89,1037.45,public,74.589,3.344798206278027,22.3,22.299999999999997
8,467.0,1178.71,1483.33,public,147.33875,2.5240042826552465,58.375,58.375
9,708.0,461.07,1110.6,public,51.23,0.651228813559322,78.66666666666667,78.66666666666666
9,885.0,1764.97,1694.37,public,196.10777777777778,1.994316384180791,98.33333333333333,98.33333333333334
6,855.0,591.35,1339.72,public,98.55833333333334,0.6916374269005848,142.5,142.5
2,993.0,54.24,715.19,public,27.12,0.05462235649546828,496.5,496.5
5,685.0,747.14,1216.36,public,149.428,1.0907153284671534,137.0,137.0
3,981.0,341.45,813.95,public,113.81666666666666,0.34806320081549436,327.0,327.0
5,770.0,873.33,1502.49,public,174.666,1.1341948051948052,154.0,154.0
6,697.0,651.64,1237.71,public,108.60666666666667,0.9349210903873745,116.16666666666667,116.16666666666667
3,795.0,450.85,743.94,public,150.28333333333333,0.5671069182389937,265.0,265.0
3,606.0,1184.23,1364.54,public,394.74333333333334,1.954174917491749,202.0,202.0
3,842.0,865.37,1251.14,public,288.45666666666665,1.0277553444180523,280.6666666666667,280.66666666666663
7,748.0,241.73,971.31,public,34.53285714285714,0.323168449197861,106.85714285714286,106.85714285714285
7,624.0,148.16,905.79,public,21.165714285714284,0.23743589743589744,89.14285714285714,89.14285714285714
2,713.0,740.33,1048.28,public,370.165,1.0383309957924265,356.5,356.5
3,874.0,1191.4,1515.99,public,397.1333333333334,1.3631578947368421,291.3333333333333,291.33333333333337
6,761.0,530.19,1120.1,public,88.36500000000001,0.6967017082785809,126.83333333333333,126.83333333333333
1,815.0,97.89,539.36,public,97.89,0.12011042944785276,815.0,815.0
1,601.0,497.7,644.12,public,497.7,0.8281198003327787,601.0,601.0
7,817.0,1127.87,1809.91,public,161.1242857142857,1.380501835985312,116.71428571428571,116.71428571428571
1,606.0,923.0,1050.05,public,923.0,1.523102310231023,606.0,606.0
1,909.0,741.82,866.07,public,741.82,0.8160836083608362,909.0,909.0
3,624.0,1160.92,1459.34,public,386.97333333333336,1.8604487179487181,208.0,208.0
4,650.0,619.49,676.38,public,154.8725,0.9530615384615385,162.5,162.5
6,204.0,818.99,628.4,public,136.49833333333333,4.014656862745098,34.0,34.0
1,263.0,396.49,198.42,public,396.49,1.5075665399239544,263.0,263.0
1,451.0,555.49,162.18,public,555.49,1.2316851441241685,451.0,451.0
10,424.0,474.99,831.96,public,47.499,1.1202594339622642,42.4,42.4
2,565.0,389.49,415.96,public,194.745,0.6893628318584071,282.5,282.5
9,397.0,348.49,913.29,public,38.721111111111114,0.877808564231738,44.111111111111114,44.111111111111114
1,532.0,413.99,355.57,public,413.99,0.7781766917293234,532.0,532.0
2,384.0,495.49,290.36,public,247.745,1.2903385416666666,192.0,192.0
5,754.0,489.99,765.13,public,97.998,0.6498541114058356,150.8,150.79999999999998
1,344.46,813.85,707.88,public,813.85,2.3626836207397086,344.46,344.46
3,906.3,540.03,848.42,public,180.01,0.5958622972525653,302.09999999999997,302.1
3,1007.56,187.52,764.64,public,62.50666666666667,0.1861129858271468,335.8533333333333,335.8533333333333
1,359.62,221.15,255.57,public,221.15,0.6149546743785107,359.62,359.62
1,362.79,749.19,636.51,public,749.19,2.0650789713057143,362.79,362.78999999999996
1,288.72,159.26,303.94,public,159.26,0.5516070933776669,288.72,288.72
2,782.17,830.72,1165.44,public,415.36,1.0620709053019166,391.085,391.085
2,623.18,347.54,625.15,public,173.77,0.5576879874193653,311.59,311.59
3,1061.15,388.5,693.36,public,129.5,0.3661122367243085,353.7166666666667,353.7166666666667
1,252.75,285.5,331.74,public,285.5,1.129574678536103,252.75,252.74999999999997
3,1020.39,250.62,779.08,public,83.54,0.24561197189309972,340.13,340.13
1,257.97,816.81,738.01,public,816.81,3.166298406791487,257.97,257.97
3,1025.03,592.55,992.4,public,197.51666666666665,0.5780806415421987,341.6766666666667,341.6766666666667
2,794.32,402.31,671.06,public,201.155,0.5064835330849028,397.16,397.16
1,276.85,485.54,361.66,public,485.54,1.7538016976702184,276.85,276.85
2,851.68,473.96,650.68,public,236.98,0.5565000939319933,425.84,425.8399999999999
3,859.12,611.07,960.47,public,203.69000000000003,0.7112743272185492,286.37333333333333,286.3733333333334
3,1317.07,476.87,787.42,public,158.95666666666668,0.36206883461015743,439.0233333333333,439.0233333333333
1,388.1,827.37,741.46,public,827.37,2.1318474619943313,388.1,388.1
1,264.39,758.27,636.19,public,758.27,2.8679980332085178,264.39,264.39
5,198.21,594.83,807.48,public,118.96600000000001,3.001009030825892,39.642,39.642
6,72.85,457.75,666.59,public,76.29166666666667,6.283459162663006,12.141666666666666,12.141666666666667
8,297.64,481.09,835.08,public,60.13625,1.6163486090579222,37.205,37.205
7,237.33,1262.27,1452.17,public,180.3242857142857,5.318628070618969,33.90428571428571,33.90428571428572
5,195.73,1228.49,511.23,public,245.698,6.276452255658305,39.146,39.146
8,276.28,1179.9,1522.6,public,147.4875,4.270667438830173,34.535,34.535
8,302.24,1046.04,1353.77,public,130.755,3.460958178930651,37.78,37.78
8,266.87,252.08,880.41,public,31.51,0.9445797579345749,33.35875,33.35875
9,310.69,239.64,828.16,public,26.626666666666665,0.771315459139335,34.52111111111111,34.52111111111111
6,222.08,709.07,1031.34,public,118.17833333333334,3.192858429394813,37.013333333333335,37.013333333333335
8,264.94,720.67,1019.85,public,90.08375,2.7201253113912585,33.1175,33.1175
8,161.15,1230.37,1499.24,public,153.79625,7.634936394663356,20.14375,20.14375
9,259.96,554.74,835.54,public,61.63777777777778,2.1339436836436376,28.88444444444444,28.884444444444444
9,97.85,518.56,850.57,public,57.617777777777775,5.299540112416964,10.872222222222222,10.872222222222224
9,194.34,1054.93,1374.9,public,117.21444444444445,5.428270042194093,21.593333333333334,21.593333333333334
9,332.35,374.61,830.45,public,41.623333333333335,1.1271551075673236,36.92777777777778,36.92777777777778
5,126.44,696.14,845.35,public,139.228,5.505694400506169,25.288,25.288000000000004
5,66.13,848.03,1050.25,public,169.606,12.823680629063965,13.225999999999999,13.225999999999999
6,135.34,1144.13,1478.11,public,190.68833333333336,8.453746120880746,22.55666666666667,22.556666666666665
6,233.7,346.98,648.57,public,57.830000000000005,1.4847240051347883,38.949999999999996,38.95
9,849.0,1007.41,1785.47,public,111.93444444444444,1.1865842167255594,94.33333333333333,94.33333333333334
6,806.0,1760.64,1718.76,public,293.44,2.184416873449132,134.33333333333334,134.33333333333331
8,891.0,1194.36,2016.46,public,149.295,1.3404713804713804,111.375,111.375
9,1182.0,1342.24,2164.15,public,149.13777777777779,1.1355668358714044,131.33333333333334,131.33333333333334
7,1010.0,1514.03,2063.98,public,216.29,1.499039603960396,144.28571428571428,144.28571428571428
8,892.0,1768.53,1902.37,public,221.06625,1.9826569506726457,111.5,111.5
6,825.0,1692.73,1817.77,public,282.12166666666667,2.0517939393939395,137.5,137.5
8,1118.0,1758.52,1852.47,public,219.815,1.5729159212880144,139.75,139.75
8,1064.0,1756.52,1857.04,public,219.565,1.6508646616541354,133.0,133.0
6,811.0,1252.04,1771.8,public,208.67333333333332,1.543822441430333,135.16666666666666,135.16666666666666
7,889.0,1417.96,1826.08,public,202.56571428571428,1.595005624296963,127.0,126.99999999999999
9,1012.0,1429.04,1880.76,public,158.78222222222223,1.412094861660079,112.44444444444444,112.44444444444446
6,909.0,1332.18,1720.21,public,222.03,1.4655445544554455,151.5,151.5
9,1096.0,1690.22,1894.85,public,187.8022222222222,1.5421715328467154,121.77777777777777,121.77777777777777
9,913.0,1021.29,1964.86,public,113.47666666666666,1.1186089813800657,101.44444444444444,101.44444444444444
6,1006.0,1219.71,1803.97,public,203.285,1.2124353876739562,167.66666666666666,167.66666666666669
6,907.0,1650.17,1737.86,public,275.02833333333336,1.8193715545755238,151.16666666666666,151.16666666666669
9,816.0,1171.81,1780.58,public,130.20111111111112,1.4360416666666667,90.66666666666667,90.66666666666667
7,1006.0,1181.33,2279.82,public,168.76142857142855,1.1742842942345924,143.71428571428572,143.71428571428572
6,835.0,1404.28,1765.79,public,234.04666666666665,1.6817724550898203,139.16666666666666,139.16666666666666
12,528.0,2476.41,1662.88,public,206.36749999999998,4.690170454545454,44.0,44.0
4,69.0,2321.49,322.0,public,580.3725,33.64478260869565,17.25,17.25
11,1179.0,31.36,1550.55,public,2.850909090909091,0.026598812553011025,107.18181818181819,107.18181818181819
13,756.0,954.4,1793.07,public,73.41538461538461,1.2624338624338625,58.15384615384615,58.153846153846146
1,123.0,2076.65,1171.68,public,2076.65,16.883333333333333,123.0,123.00000000000001
3,1162.0,2152.66,1434.71,public,717.5533333333333,1.8525473321858863,387.3333333333333,387.3333333333333
1,822.0,2170.53,1374.91,public,2170.53,2.640547445255475,822.0,821.9999999999999
11,558.0,1549.86,1823.47,public,140.89636363636362,2.77752688172043,50.72727272727273,50.72727272727273
2,753.0,1111.16,1353.87,public,555.58,1.475644090305445,376.5,376.5
10,224.0,407.51,794.7,public,40.751,1.8192410714285714,22.4,22.4
6,383.0,462.79,800.3,public,77.13166666666667,1.2083289817232377,63.833333333333336,63.833333333333336
8,1005.0,1391.37,1987.39,public,173.92125,1.3844477611940298,125.625,125.625
10,1145.0,311.43,1366.61,public,31.143,0.2719912663755459,114.5,114.49999999999999
5,1004.0,2367.63,1743.85,public,473.526,2.3581972111553786,200.8,200.79999999999998
5,873.0,1402.35,1676.79,public,280.46999999999997,1.606357388316151,174.6,174.6
2,165.0,1813.32,1273.45,public,906.66,10.989818181818181,82.5,82.5
5,1076.0,190.33,879.65,public,38.066,0.17688661710037176,215.2,215.2
12,986.0,2390.92,1760.0,public,199.24333333333334,2.424868154158215,82.16666666666667,82.16666666666667
7,948.0,657.17,1578.97,public,93.88142857142857,0.693217299578059,135.42857142857142,135.42857142857144
3,429.0,2400.13,1411.95,public,800.0433333333334,5.594708624708625,143.0,143.0
4,362.0,646.43,788.53,public,161.6075,1.7857182320441987,90.5,90.5
2,622.0,1871.56,1494.23,public,935.78,3.0089389067524115,311.0,311.0
1,140.0,255.99,150.34,public,255.99,1.8285,140.0,140.0
8,123.0,612.55,851.24,public,76.56875,4.980081300813008,15.375,15.375
4,87.0,2463.92,1413.52,public,615.98,28.320919540229887,21.75,21.75
10,164.0,1144.9,1516.43,public,114.49000000000001,6.98109756097561,16.4,16.400000000000002
1,989.0,2196.84,1439.17,public,2196.84,2.221274014155713,989.0,989.0000000000001
4,470.0,1968.63,1501.1,public,492.1575,4.188574468085107,117.5,117.5
1,37.0,1397.17,1092.94,public,1397.17,37.76135135135135,37.0,37.0
8,488.0,439.7,1030.13,public,54.9625,0.9010245901639344,61.0,61.0
12,757.0,897.4,1780.07,public,74.78333333333333,1.1854689564068692,63.083333333333336,63.08333333333333
14,958.0,1727.76,2065.16,public,123.41142857142857,1.8035073068893528,68.42857142857143,68.42857142857143
2,456.0,2390.7,1342.39,public,1195.35,5.2427631578947365,228.0,228.0
5,733.0,41.18,771.83,public,8.236,0.056180081855388815,146.6,146.6
5,291.0,1279.7,1477.12,public,255.94,4.397594501718213,58.2,58.199999999999996
10,478.0,2091.79,1568.41,public,209.179,4.376129707112971,47.8,47.800000000000004
8,817.0,1455.73,1847.26,public,181.96625,1.7817992656058752,102.125,102.125
6,1043.0,1404.35,1807.42,public,234.0583333333333,1.3464525407478427,173.83333333333334,173.83333333333331
2,958.0,1855.58,1549.54,public,927.79,1.9369311064718162,479.0,479.0
9,524.0,474.75,935.4,public,52.75,0.9060114503816794,58.22222222222222,58.22222222222222
6,45.0,81.59,522.58,public,13.598333333333334,1.8131111111111111,7.5,7.500000000000001
8,342.0,2259.06,1502.02,public,282.3825,6.605438596491228,42.75,42.75
12,379.0,1897.29,1682.98,public,158.1075,5.006042216358839,31.583333333333332,31.58333333333333
6,333.0,1254.68,1585.02,public,209.11333333333334,3.767807807807808,55.5,55.5
2,634.0,1739.81,1490.51,public,869.905,2.744179810725552,317.0,317.0
5,285.0,974.73,1282.84,public,194.946,3.420105263157895,57.0,56.99999999999999
12,33.0,1249.13,1707.38,public,104.09416666666668,37.85242424242425,2.75,2.75
9,118.0,1285.82,1539.77,public,142.86888888888888,10.896779661016948,13.11111111111111,13.11111111111111
1,420.0,2273.6,1220.35,public,2273.6,5.413333333333333,420.0,420.0
11,312.0,2072.39,1586.22,public,188.3990909090909,6.64227564102564,28.363636363636363,28.363636363636363
10,753.0,2054.02,1779.08,public,205.402,2.727782204515272,75.3,75.3
5,125.0,96.38,570.99,public,19.276,0.77104,25.0,25.0
6,597.0,888.84,1395.65,public,148.14000000000001,1.4888442211055277,99.5,99.5
12,1065.0,203.2,1408.25,public,16.933333333333334,0.1907981220657277,88.75,88.75
1,214.0,540.03,402.81,public,540.03,2.523504672897196,214.0,214.0
11,886.0,922.66,1852.24,public,83.87818181818182,1.0413769751693003,80.54545454545455,80.54545454545453
10,621.0,978.73,1656.28,public,97.873,1.5760547504025766,62.1,62.1
4,1000.0,2355.34,1699.56,public,588.835,2.35534,250.0,250.00000000000003
13,534.0,1765.96,1881.36,public,135.84307692307692,3.3070411985018726,41.07692307692308,41.07692307692308
6,475.0,1800.71,1671.23,public,300.11833333333334,3.7909684210526318,79.16666666666667,79.16666666666667
11,623.0,2265.21,1739.18,public,205.92818181818183,3.635971107544141,56.63636363636363,56.63636363636364
1,620.0,973.91,1112.02,public,973.91,1.5708225806451612,620.0,620.0
13,1004.0,1757.75,1960.67,public,135.21153846153845,1.7507470119521913,77.23076923076923,77.23076923076923
8,962.0,1929.63,1897.19,public,241.20375,2.005852390852391,120.25,120.25
14,516.0,1464.67,1842.1,public,104.61928571428572,2.8385077519379847,36.857142857142854,36.85714285714286
11,685.0,2272.75,1873.94,public,206.61363636363637,3.317883211678832,62.27272727272727,62.27272727272728
3,307.0,266.21,540.97,public,88.73666666666666,0.8671335504885993,102.33333333333333,102.33333333333334
3,375.0,1346.21,1339.93,public,448.7366666666667,3.5898933333333334,125.0,125.0
4,1124.0,2177.18,1567.43,public,544.295,1.9369928825622775,281.0,281.0
3,779.0,2110.9,1520.73,public,703.6333333333333,2.709756097560976,259.6666666666667,259.66666666666663
8,1173.0,671.25,1419.34,public,83.90625,0.5722506393861893,146.625,146.625
14,47.0,1667.14,1745.18,public,119.08142857142857,35.471063829787234,3.357142857142857,3.357142857142857
3,981.0,2008.83,1539.47,public,669.61,2.0477370030581037,327.0,327.00000000000006
5,516.0,1450.67,1547.5,public,290.134,2.811375968992248,103.2,103.2
6,471.0,332.51,872.19,public,55.41833333333333,0.7059660297239915,78.5,78.5
2,941.0,1565.77,1432.79,public,782.885,1.66394261424017,470.5,470.5
10,377.0,301.96,837.36,public,30.195999999999998,0.8009549071618036,37.7,37.7
7,273.0,285.83,793.58,public,40.832857142857144,1.0469963369963369,39.0,39.00000000000001
1,458.0,834.7,737.28,public,834.7,1.8224890829694325,458.0,458.0
11,772.0,932.31,1575.52,public,84.75545454545454,1.2076554404145077,70.18181818181819,70.18181818181819
11,36.0,1541.47,1593.24,public,140.13363636363636,42.81861111111111,3.272727272727273,3.2727272727272725
12,211.0,1048.29,1579.73,public,87.3575,4.968199052132701,17.583333333333332,17.583333333333336
7,987.0,2164.1,1839.67,public,309.15714285714284,2.1926038500506584,141.0,141.0
9,662.0,2275.59,1599.27,public,252.84333333333336,3.4374471299093656,73.55555555555556,73.55555555555556
12,96.0,1164.37,1553.21,public,97.03083333333332,12.128854166666665,8.0,8.0
5,569.0,1856.7,1623.81,public,371.34000000000003,3.2630931458699473,113.8,113.80000000000001
12,128.0,477.17,874.99,public,39.76416666666667,3.727890625,10.666666666666666,10.666666666666666
4,886.0,2401.28,1698.0,public,600.32,2.7102483069977428,221.5,221.5
13,19.0,807.27,1331.53,public,62.097692307692306,42.4878947368421,1.4615384615384615,1.4615384615384617
8,275.0,2347.09,1454.47,public,293.38625,8.534872727272727,34.375,34.375
9,963.0,588.5,1434.42,public,65.38888888888889,0.6111111111111112,107.0,106.99999999999999
14,1056.0,2489.69,1894.16,public,177.835,2.357660984848485,75.42857142857143,75.42857142857143
5,728.0,423.16,947.72,public,84.632,0.5812637362637363,145.6,145.6
4,286.0,1063.49,418.17,public,265.8725,3.7184965034965036,71.5,71.5
11,332.0,1352.48,1663.39,public,122.95272727272727,4.073734939759036,30.181818181818183,30.181818181818183
12,49.0,1118.38,1494.81,public,93.19833333333334,22.824081632653062,4.083333333333333,4.083333333333333
2,18.0,2503.46,1206.95,public,1251.73,139.0811111111111,9.0,9.0
14,592.0,1268.36,1930.24,public,90.59714285714286,2.1424999999999996,42.285714285714285,42.28571428571429
3,892.0,171.32,875.39,public,57.10666666666666,0.1920627802690583,297.3333333333333,297.3333333333333
11,741.0,1872.39,1847.08,public,170.21727272727273,2.526842105263158,67.36363636363636,67.36363636363636
14,807.0,2358.41,1819.41,public,168.45785714285714,2.922441140024783,57.642857142857146,57.642857142857146
5,873.0,1584.53,1796.7,public,316.906,1.8150400916380298,174.6,174.6
3,1159.0,2209.44,1434.84,public,736.48,1.9063330457290768,386.3333333333333,386.3333333333333
11,920.0,1338.65,1871.27,public,121.69545454545455,1.4550543478260871,83.63636363636364,83.63636363636363
1,388.0,390.7,332.06,public,390.7,1.006958762886598,388.0,388.0
9,576.0,1059.79,1547.5,public,117.75444444444445,1.8399131944444445,64.0,64.0
9,524.0,2367.12,1640.78,public,263.0133333333333,4.517404580152672,58.22222222222222,58.22222222222222
10,459.0,2183.11,1559.59,public,218.311,4.756230936819172,45.9,45.900000000000006
4,725.0,588.9,1097.95,public,147.225,0.8122758620689655,181.25,181.25
1,992.0,958.87,1222.41,public,958.87,0.9666028225806451,992.0,992.0
10,536.0,2194.42,1615.13,public,219.442,4.094067164179105,53.6,53.599999999999994
11,1126.0,1593.03,2143.74,public,144.82090909090908,1.4147690941385436,102.36363636363636,102.36363636363636
10,314.0,1098.8,1539.1,public,109.88,3.4993630573248407,31.4,31.4
1,9.0,2246.28,1120.22,public,2246.28,249.5866666666667,9.0,9.0
11,706.0,1508.23,2030.59,public,137.1118181818182,2.136303116147309,64.18181818181819,64.18181818181819
10,976.0,2166.02,1775.03,public,216.602,2.219282786885246,97.6,97.6
5,1028.0,653.19,1313.95,public,130.638,0.635398832684825,205.6,205.59999999999997
8,1166.0,99.47,1149.07,public,12.43375,0.08530874785591766,145.75,145.75
12,882.0,1958.14,1944.88,public,163.17833333333334,2.2201133786848075,73.5,73.5
11,448.0,732.79,1090.35,public,66.61727272727272,1.6356919642857142,40.72727272727273,40.72727272727273
7,623.0,1691.39,1800.86,public,241.62714285714287,2.7149117174959874,89.0,89.0
3,127.0,293.49,303.2,public,97.83,2.310944881889764,42.333333333333336,42.33333333333333
12,218.0,486.02,1005.67,public,40.501666666666665,2.2294495412844038,18.166666666666668,18.166666666666664
3,1166.0,530.44,785.59,public,176.81333333333336,0.4549228130360206,388.6666666666667,388.6666666666667
11,17.0,550.58,830.07,public,50.052727272727275,32.387058823529415,1.5454545454545454,1.5454545454545454
9,696.0,1749.97,1649.49,public,194.44111111111113,2.514324712643678,77.33333333333333,77.33333333333334
4,305.0,125.79,664.43,public,31.4475,0.41242622950819674,76.25,76.25
12,104.0,1300.05,1779.92,public,108.33749999999999,12.50048076923077,8.666666666666666,8.666666666666666
1,303.0,931.53,857.42,public,931.53,3.074356435643564,303.0,303.0
8,1012.0,2390.84,1732.12,public,298.855,2.362490118577075,126.5,126.50000000000001
9,938.0,2224.29,1913.87,public,247.14333333333332,2.371311300639659,104.22222222222223,104.22222222222221
3,471.0,288.19,535.67,public,96.06333333333333,0.611868365180467,157.0,157.0
5,72.0,977.67,1156.55,public,195.534,13.57875,14.4,14.4
10,160.0,2272.56,1642.15,public,227.256,14.2035,16.0,16.0
10,965.0,1851.28,1805.77,public,185.128,1.9184248704663212,96.5,96.5
3,266.0,2178.16,1447.95,public,726.0533333333333,8.188571428571429,88.66666666666667,88.66666666666666
12,734.0,2491.82,1792.31,public,207.65166666666667,3.394850136239782,61.166666666666664,61.166666666666664
12,64.0,1641.01,1710.72,public,136.75083333333333,25.64078125,5.333333333333333,5.333333333333333
9,497.0,1845.08,1674.09,public,205.0088888888889,3.712434607645875,55.22222222222222,55.22222222222223
3,781.0,1801.38,1586.21,public,600.46,2.306504481434059,260.3333333333333,260.3333333333333
3,158.0,1070.74,1183.16,public,356.91333333333336,6.7768354430379745,52.666666666666664,52.66666666666667
3,1096.0,200.27,802.96,public,66.75666666666667,0.18272810218978103,365.3333333333333,365.33333333333337
11,1116.0,2067.8,1987.44,public,187.9818181818182,1.8528673835125449,101.45454545454545,101.45454545454545
10,831.0,39.86,982.64,public,3.9859999999999998,0.047966305655836344,83.1,83.1
14,124.0,1064.64,1761.68,public,76.0457142857143,8.585806451612903,8.857142857142858,8.857142857142858
4,10.0,1262.73,1261.41,public,315.6825,126.273,2.5,2.5
5,955.0,106.86,897.78,public,21.372,0.11189528795811518,191.0,191.0
7,1176.0,2489.13,1921.16,public,355.59000000000003,2.116607142857143,168.0,168.0
6,803.0,465.6,1012.0,public,77.60000000000001,0.5798256537982566,133.83333333333334,133.83333333333334
9,868.0,62.12,1022.81,public,6.902222222222222,0.07156682027649769,96.44444444444444,96.44444444444446
1,181.0,128.05,225.12,public,128.05,0.7074585635359116,181.0,181.0
3,70.0,631.88,564.16,public,210.62666666666667,9.026857142857143,23.333333333333332,23.333333333333332
8,1090.0,419.76,1189.47,public,52.47,0.3851009174311927,136.25,136.25
14,1184.0,2269.89,1943.24,public,162.135,1.9171368243243243,84.57142857142857,84.57142857142857
1,735.0,1676.9,1365.21,public,1676.9,2.281496598639456,735.0,735.0
2,547.0,119.09,509.52,public,59.545,0.2177148080438757,273.5,273.5
11,265.0,218.66,949.34,public,19.87818181818182,0.8251320754716981,24.09090909090909,24.090909090909093
10,223.0,886.32,1305.54,public,88.632,3.974529147982063,22.3,22.3
12,959.0,1947.82,1833.24,public,162.31833333333333,2.031094890510949,79.91666666666667,79.91666666666666
11,498.0,1578.39,1793.52,public,143.49,3.1694578313253015,45.27272727272727,45.27272727272727
14,127.0,988.4,1688.9,public,70.6,7.782677165354331,9.071428571428571,9.071428571428571
3,621.0,214.08,779.66,public,71.36,0.34473429951690826,207.0,206.99999999999997
6,1193.0,2241.5,1839.47,public,373.5833333333333,1.8788767812238056,198.83333333333334,198.83333333333331
4,448.0,2055.97,1497.46,public,513.9925,4.58921875,112.0,112.0
8,466.0,2064.63,1558.12,public,258.07875,4.430536480686696,58.25,58.24999999999999
12,229.0,1216.16,1696.65,public,101.34666666666668,5.310742358078603,19.083333333333332,19.083333333333336
13,658.0,559.48,1573.12,public,43.03692307692308,0.8502735562310031,50.61538461538461,50.61538461538462
13,1034.0,2477.98,1842.24,public,190.61384615384617,2.3964990328820117,79.53846153846153,79.53846153846155
4,842.0,2464.29,1611.66,public,616.0725,2.926710213776722,210.5,210.5
